date,gasoline,wti,gasoline_bbls,crack_spread,year,cpi_values,crack_spread_adj,gasoline_adj,gasoline_bbls_adj,wti_adj
2008-05-19,3.84,125.588,161.28,35.69200000000001,2008,257.106,13.882212005943076,1.4935474084618796,62.72899115539894,48.84677914945586
2008-05-26,3.986,130.88500000000002,167.412,36.52699999999999,2008,257.106,14.206980778356005,1.5503333255544407,65.1139996732865,50.9070188949305
2008-06-02,4.026,128.322,169.09199999999998,40.76999999999998,2008,275.621,14.792051403920595,1.460701470497531,61.349461760896304,46.5574103569757
2008-06-09,4.09,129.502,171.78,42.27799999999999,2008,275.621,15.339179525507852,1.4839217621298812,62.324714009455015,46.98553448394717
2008-06-16,4.134,134.816,173.62800000000001,38.81200000000001,2008,275.621,14.081655606793392,1.4998857126271221,62.995199930339126,48.91354432354574
2008-06-23,4.131,134.634,173.502,38.86800000000002,2008,275.621,14.101973361971703,1.4987972614568559,62.94948498118794,48.84751161921624
2008-06-30,4.146,137.794,174.132,36.337999999999994,2008,275.621,13.184046208380348,1.5042395173081877,63.17805972694389,49.99401351856354
2008-07-07,4.165,142.8725,174.93,32.057500000000005,2008,280.833,11.415147080293272,1.4830878137540815,62.28968817767142,50.874541097378156
2008-07-14,4.164,140.706,174.88799999999998,34.18199999999999,2008,280.833,12.171646494535892,1.4827317302453769,62.27473267030582,50.10308617576993
2008-07-21,4.118,132.622,172.95600000000002,40.334,2008,280.833,14.362272240085744,1.4663518888449718,61.58677933148881,47.224507091403076
2008-07-28,4.01,124.58200000000002,168.42,43.837999999999965,2008,280.833,15.609988854586163,1.42789486990489,59.97158453600537,44.36159568141921
2008-08-04,3.935,123.92,165.27,41.35000000000001,2008,266.283,15.528591761396711,1.4777511144158657,62.06554680546637,46.53695504406966
2008-08-11,3.864,117.396,162.28799999999998,44.89199999999998,2008,266.283,16.85875553452529,1.451087752503915,60.94568560516442,44.08693007063913
2008-08-18,3.794,114.098,159.348,45.250000000000014,2008,266.283,16.993198965010915,1.4247999309005832,59.8415970978245,42.84839813281358
2008-08-25,3.738,116.08600000000001,156.996,40.91,2008,266.283,15.363354025604337,1.4037696736179177,58.958326291952545,43.59497226634821
2008-09-01,3.733,116.4025,156.786,40.3835,2008,258.02,15.651306100302303,1.446787070769708,60.765056972327734,45.11375087202543
2008-09-08,3.701,107.96400000000001,155.442,47.477999999999994,2008,258.02,18.400899155104256,1.4343849314006667,60.24416711882801,41.843267963723754
2008-09-15,3.887,100.71,163.254,62.544,2008,258.02,24.239981396790945,1.5064723664832185,63.27183939229517,39.031857995504225
2008-09-22,3.772,102.60799999999999,158.42399999999998,55.81599999999999,2008,258.02,21.63243159445004,1.4619021781257266,61.39989148128052,39.76745988683047
2008-09-29,3.687,105.85799999999999,154.85399999999998,48.995999999999995,2008,258.02,18.989225641423143,1.4289589954267112,60.01627780792187,41.02705216649872
2008-10-06,3.543,94.96599999999998,148.806,53.84000000000003,2008,231.561,23.250892853287052,1.5300503970875925,64.26211667767888,41.011223824391834
2008-10-13,3.213,84.846,134.946,50.099999999999994,2008,231.561,21.63576768108619,1.3875393524816355,58.27665280422869,36.640885123142496
2008-10-20,2.974,73.77199999999999,124.90800000000002,51.136000000000024,2008,231.561,22.08316599081884,1.284326808054897,53.94172593830567,31.858559947486835
2008-10-27,2.718,66.12800000000001,114.156,48.02799999999999,2008,231.561,20.740971061620908,1.1737727855727,49.2984569940534,28.557485932432495
2008-11-03,2.462,65.614,103.40400000000001,37.790000000000006,2008,189.938,19.89596605208016,1.2962124482725945,54.440922827448965,34.54495677536881
2008-11-10,2.284,63.958000000000006,95.928,31.96999999999999,2008,189.938,16.831808274278973,1.2024976571302213,50.5049015994693,33.67309332519033
2008-11-17,2.132,57.19200000000001,89.54400000000001,32.352000000000004,2008,189.938,17.0329265339216,1.1224715433457235,47.143804820520394,30.11087828659879
2008-11-24,1.952,51.95400000000001,81.984,30.029999999999987,2008,189.938,15.810422348345243,1.0277037770219757,43.16355863492298,27.353136286577733
2008-12-01,1.87,52.1925,78.54,26.347500000000004,2008,171.158,15.393671344605572,1.0925577536545181,45.887425653489764,30.493754308884192
2008-12-08,1.758,44.467999999999996,73.836,29.368000000000002,2008,171.158,17.158415031725074,1.0271211395318947,43.13908786033957,25.980672828614498
2008-12-15,1.716,44.75,72.072,27.322000000000003,2008,171.158,15.963028313020722,1.0025824092359108,42.108461187908254,26.145432874887533
2008-12-22,1.71,37.002,71.82,34.81799999999999,2008,171.158,20.34260741537059,0.9990768763364845,41.96122880613235,21.618621390761756
2008-12-29,1.67,35.1725,70.14,34.9675,2008,171.158,20.429953610114634,0.975706657006976,40.979679594292996,20.549725984178362
2009-01-05,1.737,44.58250000000001,72.95400000000001,28.371499999999997,2009,174.622,16.247380055204953,0.994720023822886,41.77824100056121,25.53086094535626
2009-01-12,1.835,42.266000000000005,77.07,34.80399999999999,2009,174.622,19.931051070311863,1.0508412456620586,44.13533231780645,24.20428124749459
2009-01-19,1.898,36.4975,79.716,43.21849999999999,2009,174.622,24.749745163839602,1.0869191739872408,45.65060530746411,20.900860143624513
2009-01-26,1.89,43.016,79.38,36.364,2009,174.622,20.82440929550686,1.0823378497554716,45.458189689729814,24.63378039422295
2009-02-02,1.944,41.674,81.648,39.974,2009,178.741,22.364202952875946,1.0876072081950978,45.6795027441941,23.31529979131816
2009-02-09,1.978,40.422000000000004,83.076,42.65399999999999,2009,178.741,23.86357914524367,1.1066291449639423,46.47842408848557,22.6148449432419
2009-02-16,2.016,36.2825,84.672,48.3895,2009,178.741,27.07241203752916,1.1278889566467682,47.37133617916426,20.2989241416351
2009-02-23,1.963,37.248,82.446,45.198,2009,178.741,25.286867590536026,1.098237114036511,46.125958789533456,20.83909119899743
2009-03-02,1.988,41.58,83.496,41.916,2009,177.454,23.62076932613522,1.1202903287612564,47.05219380797276,23.431424481837546
2009-03-09,1.993,44.565999999999995,83.706,39.14000000000001,2009,177.454,22.056420255390133,1.1231079603728291,47.17053433565882,25.114114080268685
2009-03-16,1.964,45.720000000000006,82.488,36.767999999999994,2009,177.454,20.719735818860094,1.106765697025708,46.48415927507974,25.764423456219642
2009-03-23,2.014,50.63000000000001,84.588,33.957999999999984,2009,177.454,19.136226853156302,1.1349420131414336,47.66756455194022,28.531337698783915
2009-03-30,2.097,52.074,88.074,36.0,2009,177.454,20.28694760332255,1.1817146978935384,49.63201731152862,29.34506970820607
2009-04-06,2.09,50.866,87.78,36.914,2009,179.704,20.54155722744068,1.163023638872813,48.846992832658145,28.305435605217465
2009-04-13,2.104,50.24,88.36800000000001,38.12800000000001,2009,179.704,21.21711258514001,1.1708142278413392,49.17419756933624,27.957084984196236
2009-04-20,2.112,48.984,88.70400000000001,39.720000000000006,2009,179.704,22.10301384498954,1.1752659929662113,49.36117170458087,27.258157859591325
2009-04-27,2.102,48.492000000000004,88.28399999999999,39.79199999999999,2009,179.704,22.14307973111338,1.169701286560121,49.12745403552508,26.984374304411702
2009-05-04,2.129,51.236000000000004,89.418,38.182,2009,186.909,20.428122776324308,1.1390569742495011,47.840392918479054,27.412270142154743
2009-05-11,2.29,56.628,96.18,39.55200000000001,2009,186.909,21.16109978652714,1.2251951484412202,51.45819623453125,30.297096448004112
2009-05-18,2.36,58.17999999999999,99.11999999999999,40.94,2009,186.909,21.903707151608536,1.262646528524576,53.03115419803219,31.127447046423658
2009-05-25,2.485,60.6525,104.36999999999999,43.71749999999999,2009,186.909,23.389724411344552,1.3295239929591407,55.8400077042839,32.450283292939346
2009-06-01,2.572,65.176,108.024,42.848,2009,205.408,20.859947032248012,1.252142078205328,52.589967284623775,31.730020252375763
2009-06-08,2.673,68.0,112.266,44.266000000000005,2009,205.408,21.55028041751052,1.3013125097367193,54.655125408942205,33.10484499143168
2009-06-15,2.722,71.352,114.324,42.971999999999994,2009,205.408,20.9203146907618,1.3251674715687802,55.657033805888766,34.73671911512697
2009-06-22,2.743,69.92999999999999,115.20599999999999,45.275999999999996,2009,205.408,22.041984732824428,1.3353910266396636,56.086423118865866,34.044438386041435
2009-06-29,2.695,69.45599999999999,113.19,43.73400000000001,2009,205.408,21.291283689048143,1.3120229007633588,55.10496183206107,33.81367814301293
2009-07-06,2.666,67.47,111.972,44.501999999999995,2009,201.938,22.03745704127009,1.3202071923065497,55.44870207687508,33.41124503560499
2009-07-13,2.584,60.602,108.528,47.92600000000001,2009,201.938,23.73302696867356,1.2796006695124247,53.74322811952184,30.01020115084828
2009-07-20,2.519,62.134,105.798,43.664,2009,201.938,21.62247818637404,1.2474125721756184,52.39132803137597,30.768849845001935
2009-07-27,2.557,66.15799999999999,107.39399999999999,41.236000000000004,2009,201.938,20.420128950469948,1.2662302290802128,53.18166962136893,32.76154067089899
2009-08-03,2.61,67.68199999999999,109.61999999999999,41.938,2009,204.971,20.46045538149299,1.2733508642686038,53.480736299281354,33.02028091778836
2009-08-10,2.7,71.378,113.4,42.022000000000006,2009,204.971,20.50143678861888,1.3172595147606248,55.32489961994623,34.823462831327355
2009-08-17,2.691,68.86800000000001,113.02199999999999,44.15399999999998,2009,204.971,21.541583931385404,1.3128686497114226,55.140483287879746,33.598899356494336
2009-08-24,2.682,72.192,112.64399999999999,40.452,2009,204.971,19.73547477448029,1.3084777846622204,54.956066955813256,35.22059218133297
2009-08-31,2.667,71.63199999999999,112.014,40.382000000000005,2009,204.971,19.70132360187539,1.3011596762468836,54.64870640236911,34.94738280049373
2009-09-07,2.642,67.9975,110.964,42.966499999999996,2009,202.243,21.24498746557359,1.306349292682565,54.86667029266773,33.62168282709414
2009-09-14,2.632,70.5,110.54400000000001,40.04400000000001,2009,202.243,19.799943632165274,1.3014047457761209,54.65899932259708,34.85905569043181
2009-09-21,2.607,71.49600000000001,109.49400000000001,37.998000000000005,2009,202.243,18.788289335106782,1.2890433785100104,54.13982189742044,35.35153256231366
2009-09-28,2.554,67.716,107.26799999999999,39.55199999999999,2009,202.243,19.556671924368207,1.2628372799058558,53.03916575604594,33.482493831677736
2009-10-05,2.523,69.55,105.96600000000001,36.41600000000001,2009,199.198,18.281308045261504,1.266578981716684,53.19631723210072,34.91500918683922
2009-10-12,2.543,71.398,106.80600000000001,35.408000000000015,2009,199.198,17.775278868261736,1.276619243165092,53.618008212933866,35.84272934467213
2009-10-19,2.626,76.97200000000001,110.292,33.31999999999999,2009,199.198,16.727075573047916,1.3182863281759856,55.368025783391396,38.640950210343476
2009-10-26,2.727,79.888,114.53399999999999,34.64599999999999,2009,199.198,17.392744907077372,1.3689896484904465,57.49756523659876,40.10482032952139
2009-11-02,2.746,78.36,115.332,36.971999999999994,2009,204.026,18.121219844529616,1.3459068942193642,56.52808955721329,38.40686971268368
2009-11-09,2.72,79.27199999999999,114.24000000000001,34.96800000000002,2009,204.026,17.138992089243533,1.333163420348387,55.99286365463225,38.85387156538872
2009-11-16,2.684,78.13399999999999,112.72800000000001,34.59400000000002,2009,204.026,16.955682118945635,1.3155186103731877,55.25178163567389,38.29609951672825
2009-11-23,2.694,77.884,113.148,35.263999999999996,2009,204.026,17.2840716379285,1.3204199464774096,55.457637752051205,38.17356611412271
2009-11-30,2.684,76.3175,112.72800000000001,36.41050000000001,2009,204.026,17.84600982227756,1.3155186103731877,55.25178163567389,37.40577181339633
2009-12-07,2.689,76.146,112.938,36.792,2009,202.301,18.186761311115617,1.3292074680797425,55.826713659349195,37.63995234823357
2009-12-14,2.655,70.62800000000001,111.50999999999999,40.88199999999998,2009,202.301,20.208501193765716,1.3124008284684703,55.12083479567574,34.912333601910035
2009-12-21,2.645,72.36999999999999,111.09,38.72000000000001,2009,202.301,19.139796639660712,1.3074576991710374,54.91322336518357,35.77342672552285
